name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Dead Nation™: Apocalypse Edition;Sony Interactive Entertainment Europe;;Inglés;14,99 €;PS4;"
                2.34 GB
              ";
Thief;Square Enix LTD;;Acción;19,99 €;PS4;"
                21.99 GB
              ";
Basement Crawl;BLOOBER TEAM S.A.;;Estrategia;19,99 €;PS4;"
                1.11 GB
              ";
Rayman Legends;UBISOFT ENTERTAINMENT SA;;Aventura;29,99 €;PS4;"
                9.03 GB
              ";
Assassin's Creed® Freedom Cry;UBISOFT ENTERTAINMENT SA;;Aventura;14,99 €;PS4;"
                8.09 GB
              ";
STRIDER;CE EUROPE LIMITED;;Acción;14,99 €;PS4;"
                2.89 GB
              ";
Outlast;Red Barrels;;Horror;18,99 €;PS4;"
                4.3 GB
              ";
Tomb Raider: Definitive Edition;Square Enix LTD;;Aventura;29,99 €;PS4;"
                22.23 GB
              ";
Don't Starve: Console Edition;Klei Entertainment Inc.;;Aventura;13,99 €;PS4;;
Paquete Call of Duty®: Ghosts y pase de temporada;Activision Blizzard Int'l BV;;Shooter;109,99 €;PS4;"
                31.75 GB
              ";
Backgammon Blitz ;The Fyzz Facility Limited;;Estrategia;3,49 €;PS4;;
Pinball Arcade;Farsight Technologies;;Simulador;Gratis;PS4;"
                2.28 GB
              ";
Doki-Doki Universe™;Sony Interactive Entertainment Europe;;Francés;1,49 €;PS4;"
                1.59 GB
              ";
Pack de KILLZONE™ SHADOW FALL y pase de temporada;Sony Interactive Entertainment Europe;;Español;54,99 €;PS4;"
                40.3 GB
              ";
Tiny Brains;505 GAMES S.R.L.;;Puzzle;;PS4;"
                2.91 GB
              ";
Blacklight: Retribution;Hardsuit Labs;;Shooter;Gratis;PS4;"
                4.91 GB
              ";
Battlefield 4™;EA Swiss Sarl;;Acción;19,99 €;PS4;"
                36.42 GB
              ";
Colección Escape Plan™;Sony Interactive Entertainment Europe;;Holandés;19,99 €;PS4;"
                4.27 GB
              ";
DC Universe™ Online Free To Play;SONY ONLINE ENTERTAINMENT LLC;;Acción;Gratis;PS4;"
                28.08 GB
              ";Plus exclusive
Escape Plan™;Sony Interactive Entertainment Europe;;Holandés;12,99 €;PS4;"
                4.27 GB
              ";
Injustice: Gods Among Us Ultimate Edition;WARNER BROS. INTERACTIVE;;Acción;59,99 €;PS4;"
                21.7 GB
              ";
KILLZONE™ SHADOW FALL;Sony Interactive Entertainment Europe;;Español;39,99 €;PS4;"
                40.3 GB
              ";
KNACK™;Sony Interactive Entertainment Europe;;Holandés;19,99 €;PS4;"
                38.34 GB
              ";
LEGO® Marvel Super Heroes;WARNER BROS. INTERACTIVE;;Aventura;39,99 €;PS4;"
                6.35 GB
              ";
Madden NFL 25;EA Swiss Sarl;;Deportes;69,99 €;PS4;"
                13.05 GB
              ";
Need for Speed™ Rivals;EA Swiss Sarl;;Carreras;19,99 €;PS4;"
                16.01 GB
              ";
Sound Shapes™;Sony Interactive Entertainment Europe;;Holandés;12,99 €;PS4;"
                3.45 GB
              ";
Warframe®;Digital Extremes;;Acción;Gratis;PS4;"
                4.08 GB
              ";
War Thunder;Gaijin Network Ltd;;Acción;Gratis;PS4;"
                7.68 GB
              ";
Assassin's Creed® IV Black Flag™ - Standard Edition;UBISOFT ENTERTAINMENT SA;;Acción;29,99 €;PS4;"
                21.69 GB
              ";
CONTRAST;Compulsion Games;;Único;9,99 €;PS4;"
                2.34 GB
              ";
JUST DANCE® 2014;UBISOFT ENTERTAINMENT SA;;MUSIC/RHYTHM;29,99 €;PS4;"
                22.01 GB
              ";
Super Motherload;XGen Studios;;Puzzle;13,99 €;PS4;;
THE PLAYROOM;Sony Interactive Entertainment Europe;;;;PS4;;
Trine 2: Complete Story;Frozenbyte LTD;;Puzzle;3,99 €;PS4;"
                2.64 GB
              ";
Colección Escape Plan™;Sony Interactive Entertainment Europe;;Aventura;19,99 €;PS4, PS Vita;"
                4.27 GB
              ";
Broken Sword 5: La maldición de la serpiente, episodio 1&2;REVOLUTION SOFTWARE LTD;;Aventura;19,99 €;PS Vita;"
                1.69 GB
              ";
DARIUSBURST Chronicle Saviours;"
Juego
Lanzado 8 Dic 2015












                  54 Calificaciones
                

";;Shooter;39,99 €;PS Vita;;
Fruit Ninja;"
Juego
Lanzado 14 Ago 2013












                  1263 Calificaciones
                

";;Arcade;4,99 €;PS Vita;;
NINJA GAIDEN SIGMA 2 PLUS;Koei Tecmo Europe Ltd;;Aventura;39,99 €;PS Vita;"
                2.91 GB
              ";
Patapon™ 3 Desbloquear características online [PSP];Sony Interactive Entertainment Europe;;;7,99 €;PSP®, PS Vita;;
¡Colección de trajes de Tales of Hearts™ R + 6 de Tales of!;BANDAI NAMCO ENTERTAINMENT EUROPE;;Juegos de rol;29,99 €;PS Vita;"
                1.6 GB
              ";
